ORGID,Region,Wing,Unit,NextLevel,Name,Type,DateChartered,Status,Scope,UsrID,DateMod,FirstUsr,DateCreated,DateReceived,OrgNotes
1,"SER","AL","024",97,"TUSCALOOSA COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","hament","12/22/1998","converted","10/29/1998","02/23/2004","Meetings 1800-Tuesday-Cadets-Weekly  1830-Tuesday-Seniors-1st  3rd. CAP is not just for PILOTS, but for everyone interested in aviation and the community."
2,"SER","AL","041",97,"MUSCLE SHOALS COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","hament","12/22/1998","converted","10/29/1998","02/23/2004",""
3,"SER","AL","055",97,"HUNTSVILLE SENIOR SQUADRON","SENIOR","01/01/1900","ACTIVE","UNIT","abeck","10/15/2010","converted","10/29/1998","02/23/2004","MEETS 1ST & 3RD THURS OF MONTH."
5,"SWR","AZ","000",597,"ARIZONA WING HQ CAP","SENIOR","01/01/1900","ACTIVE","UNIT","converted","05/01/1983","converted","10/29/1998","02/23/2004",""
6,"SWR","AR","000",1042,"ARKANSAS WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","08/01/1983","converted","10/29/1998","02/23/2004",""
10,"PCR","CA","140",1662,"EDWARDS AFB COMPOSITE SQDN 84","COMPOSITE","01/01/1900","ACTIVE","UNIT","jonesgd","01/05/2001","converted","10/29/1998","02/23/2004","Building 1850 is at 1518 Forbes Ave. It is at the far north end of the flight line, adjacent to and just south of NASA Dryden Flight Research Center. From the Edwards AFB West Gate, continue on Rosamond Blvd to the stop sign at Forbes Ave, turn right onto Forbes. Building 1850 is three quarters of a mile down Forbes on the right. From the Edwards AFB North Gate, continue on Rosamond Blvd to the stop sign at Forbes Ave and turn left onto Forbes. Continue as above."
14,"RMR","CO","000",1056,"COLORADO WING HQ SQ","SENIOR","01/01/1900","ACTIVE","UNIT","converted","05/01/1983","converted","10/29/1998","02/23/2004",""
15,"RMR","CO","015",1667,"THUNDER MOUNTAIN COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","jonesgd","01/05/2001","converted","10/29/1998","02/23/2004","SENIORS MEET 1ST  3RD MONDAYS AT 1700.   CADETS MEET EVERY TUES 1630-2100."
18,"RMR","CO","148",2654,"MUSTANG CADET SQDN","CADET","01/01/1900","ACTIVE","UNIT","gregorichka","08/22/2014","converted","10/29/1998","02/23/2004",""
20,"GLR","OH","058",359,"Headquarters, Group IV","GROUP","01/01/1900","ACTIVE","GROUP","hament","12/23/1998","converted","10/29/1998","02/23/2004","Meets quarterly in conference room.  Call before attending."
